"Bruxella 1238"	"http://www.brussels.be/artdet.cfm?id=4203"
"Museum of the City of Brussels"	"http://www.brussels.be/artdet.cfm/4202"
"City Hall"	"http://www.brussels.be/artdet.cfm/4292"
"Coudenberg"	"http://www.coudenberg.com/"
"Museum of Costume and Lace"	"http://www.museeducostumeetdeladentelle.be/"
"Sewer Museum"	"http://www.brussels.be/artdet.cfm/5018"
