"Monsieur Jean - Dupuy & Berberian"	""	"http://static.skynetblogs.be/media/135561/dyn005_original_608_458_pjpeg_2564269_930abea1650c762a0ecb92462937b6e9.jpg"
"Le Passage - Schuiten"	""	"http://static.skynetblogs.be/media/135561/dyn003_original_378_720_pjpeg_2564269_b3df8d86c4b1a68df0b42611c0a0c7fe.jpg"
"Astérix et Obélix - Goscinny & Uderzo"	""	"http://static.skynetblogs.be/media/135561/dyn001_original_570_435_pjpeg_2564269_95cc52ca340bc1df25880c88257167b9.jpg"
"Les rêves de Nick - Herman"	""	"http://static.skynetblogs.be/media/135561/dyn005_original_537_720_pjpeg_2564269_fb27d28edc99fc1f9d52bbeb91efe24f.jpg"
"Caroline Baldwin - Taymans & Wesel"	""	"http://static.skynetblogs.be/media/135561/dyn005_original_482_640_pjpeg_2564269_c54c45a79862fe2a79b5e618ada53786.jpg"
"Titeuf - Zep"	""	"http://static.skynetblogs.be/media/135561/dyn003_original_599_800_pjpeg_2564269_e32fcd33dd2eeae35288d29eba37ac78.jpg"
"Le Petit Spirou - Tome & Janry"	""	"http://static.skynetblogs.be/media/135561/dyn007_original_680_512_pjpeg_2564269_f8977a6e21e0b2c04af18ec098c7cef8.jpg"
"Kiekeboe - Merho"	""	"http://static.skynetblogs.be/media/135561/dyn003_original_680_383_pjpeg_2564269_2c2cb50e2368df6149e60b8a93458a1b.jpg"
"Gil Jourdan - Maurice Tillieux"	""	"http://static.skynetblogs.be/media/135561/dyn002_original_680_510_pjpeg_2564269_aee504387ba36d61983a8871177a440b.jpg"
"Marsupilami - Franquin"	""	"http://static.skynetblogs.be/media/135561/3501899608.JPG"
